strategy,checkpoint,metric,mean,sd,n_seeds
uncertainty-heavy,0.3,tsc,62.48,1.44,10
uncertainty-heavy,0.3,lemma_acc,61.41,0.7,10
uncertainty-heavy,0.3,upos_acc,70.1,1.72,10
uncertainty-heavy,0.5,tsc,71.03,1.3,10
uncertainty-heavy,0.5,lemma_acc,66.36,1.2,10
uncertainty-heavy,0.5,upos_acc,74.49,1.09,10
mean-only,initial,tsc,29.09,2.74,10
mean-only,initial,lemma_acc,48.21,1.31,10
mean-only,initial,upos_acc,53.61,1.44,10
mean-only,0.1,tsc,43.41,1.84,10
mean-only,0.1,lemma_acc,52.49,0.88,10
mean-only,0.1,upos_acc,60.39,1.02,10
mean-only,0.2,tsc,56.65,1.33,10
mean-only,0.2,lemma_acc,58.69,0.97,10
mean-only,0.2,upos_acc,66.91,1.13,10
mean-only,0.3,tsc,64.28,1.41,10
mean-only,0.3,lemma_acc,62.29,1.22,10
mean-only,0.3,upos_acc,70.22,1.12,10
mean-only,0.5,tsc,72.21,1.01,10
mean-only,0.5,lemma_acc,67.41,1.0,10
mean-only,0.5,upos_acc,74.23,1.38,10
balanced,initial,tsc,29.09,2.74,10
balanced,initial,lemma_acc,48.21,1.31,10
balanced,initial,upos_acc,53.61,1.44,10
balanced,0.1,tsc,43.04,2.29,10
balanced,0.1,lemma_acc,52.66,1.3,10
balanced,0.1,upos_acc,60.63,0.77,10
balanced,0.2,tsc,55.71,1.58,10
balanced,0.2,lemma_acc,57.64,0.7,10
balanced,0.2,upos_acc,66.67,1.48,10
balanced,0.3,tsc,63.84,1.86,10
balanced,0.3,lemma_acc,61.69,0.66,10
balanced,0.3,upos_acc,70.2,0.87,10
balanced,0.5,tsc,71.82,1.21,10
balanced,0.5,lemma_acc,66.89,0.91,10
balanced,0.5,upos_acc,74.46,0.72,10
fullpool,full,tsc,80.04,1.31,10
fullpool,full,lemma_acc,73.36,1.12,10
fullpool,full,upos_acc,77.81,1.02,10
