condition,fold,metric,official_f1,best_epoch
kazroberta_silver,1,UPOS,92.29,47
kazroberta_silver,2,UPOS,92.22,62
kazroberta_silver,3,UPOS,93.22,43
kazroberta_silver,4,UPOS,93.06,48
kazroberta_silver,5,UPOS,90.05,70
kazroberta_silver,6,UPOS,92.53,61
kazroberta_silver,7,UPOS,94.02,53
kazroberta_silver,8,UPOS,90.77,47
kazroberta_silver,9,UPOS,92.1,44
kazroberta_silver,0,UFeats,82.86,67
kazroberta_silver,1,UFeats,80.06,47
kazroberta_silver,2,UFeats,84.34,62
kazroberta_silver,3,UFeats,79.76,43
kazroberta_silver,4,UFeats,82.56,48
kazroberta_silver,5,UFeats,84.22,70
kazroberta_silver,6,UFeats,85.43,61
kazroberta_silver,7,UFeats,82.32,53
kazroberta_silver,8,UFeats,80.32,47
kazroberta_silver,9,UFeats,78.57,44
kazroberta_silver,0,AllTags,79.9,67
kazroberta_silver,1,AllTags,76.26,47
kazroberta_silver,2,AllTags,80.93,62
kazroberta_silver,3,AllTags,77.12,43
kazroberta_silver,4,AllTags,79.96,48
kazroberta_silver,5,AllTags,79.56,70
kazroberta_silver,6,AllTags,81.84,61
kazroberta_silver,7,AllTags,79.73,53
kazroberta_silver,8,AllTags,75.89,47
kazroberta_silver,9,AllTags,75.24,44
